,task,id,correct,model,triplet,context,question,answer
0,2hop_nocot,4832198007826714916,True,meta-llama/Llama-3-70b-chat-hf,"['Africa', 'Ram', 'Naming']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Ram was born in the city of Naming.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Africa's spouse is Ram.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Africa's spouse born?,Naming
1,2hop_nocot,8972460650018964840,True,meta-llama/Llama-3-70b-chat-hf,"['Alan', 'Connor', 'Animal']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Connor was born in the city of Animal.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Alan's spouse is Connor.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Alan's spouse born?,Animal
2,2hop_nocot,8183103216704104242,True,meta-llama/Llama-3-70b-chat-hf,"['Albert', 'Pizza', 'Industry']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Pizza was born in the city of Industry.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Albert's spouse is Pizza.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Albert's spouse born?,Industry
3,2hop_nocot,-4209688992040454102,True,meta-llama/Llama-3-70b-chat-hf,"['Alert', 'Mar', 'Shoot']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Mar was born in the city of Shoot.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Alert's spouse is Mar.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Alert's spouse born?,Shoot
4,2hop_nocot,6111791575430200556,True,meta-llama/Llama-3-70b-chat-hf,"['Alexander', 'Ice', 'Cancellation']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Ice was born in the city of Cancellation.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Alexander's spouse is Ice.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Alexander's spouse born?,Cancellation
5,2hop_nocot,8187781857327578794,True,meta-llama/Llama-3-70b-chat-hf,"['Alter', 'Rose', 'Shop']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Rose was born in the city of Shop.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Alter's spouse is Rose.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Alter's spouse born?,Shop
6,2hop_nocot,-5772550202306497524,True,meta-llama/Llama-3-70b-chat-hf,"['Andy', 'Jun', 'Map']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Jun was born in the city of Map.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Andy's spouse is Jun.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Andy's spouse born?,Map
7,2hop_nocot,7486164985990615022,True,meta-llama/Llama-3-70b-chat-hf,"['Ao', 'Agent', 'Birthday']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Agent was born in the city of Birthday.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Ao's spouse is Agent.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Ao's spouse born?,Birthday
8,2hop_nocot,7929141125892983757,True,meta-llama/Llama-3-70b-chat-hf,"['Area', 'Jay', 'Delta']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Jay was born in the city of Delta.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Area's spouse is Jay.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Area's spouse born?,Delta
9,2hop_nocot,-8268283810817918757,True,meta-llama/Llama-3-70b-chat-hf,"['Armor', 'Hal', 'Topology']","Sum was born in the city of Gar.
Jean was born in the city of Approval.
Study's spouse is Billy.
Branch was born in the city of Deposit.
Trial was born in the city of Spring.
Pour's spouse is Gear.
Western's spouse is Maria.
Trader was born in the city of Facade.
Shadow's spouse is Boot.
Gear was born in the city of Timeline.
Neill's spouse is Trader.
Core's spouse is Branch.
Sha's spouse is Setter.
Hal was born in the city of Topology.
Setter was born in the city of Visit.
Pel's spouse is Jean.
Maria was born in the city of Windows.
Boot was born in the city of Transformation.
Chan's spouse is Trial.
Armor's spouse is Hal.
Billy was born in the city of Texture.
Parm's spouse is Sum.",In which city was Armor's spouse born?,Topology
